Commune_sud;Quartier;;
Boulouparis;Boulouparis (chef-lieu);;
;Bourak�;;
;Gilles (Boulouparis);;
;Kouerga;;
;Nassirah;;
;Nét�;;
;Ouamén;;
;Ouinan�;;
;Ouitchambo;;
;Tomo;;
Bourail;Azareu;;
;Bouirou;;
;Gouaro;;
;Nanda�;;
;Néméa;;
;Nessadiou;;
;Ny (Bourail);;
;Roche Percée (Bourail;;
;Oua-Ou�;;
;Pot�;;
;Po�;;
Dumbé;Auteuil;;
;Cœur de vill;;
;Dumbéa (chef-lieu;;
;Dumbéa-sur-me;;
;Katiramona Sud;;
;Koghis;;
;Koutio;;
;La Couvelé;;
;Nakutakoin;;
;Nondou�;;
;Plaine de Ko�;;
Farino;Fonwhary;;
;Farino (chef-lieu);;
La Foa;Coind�;;
;La Foa (chef-lieu);;
;Forêt Noire (La Foa;;
;Oua-Tom;;
;Oui-poin;;
;Pocquereux Kouma;;
�le des Pins;Comagna;;
;Gadji;;
;Koutoumo;;
;Ouatchia;;
;Touét;;
;Vao;;
;Wapan;;
;Wapwang�;;
;Youati;;
Moindou;Kér;;
;Momé;;
;Mouidou (chef-lieu);;
;Téremb;;
Mont-Dore;Boulari (chef-lieu);;
;Grand Sud;;
;�le Ouen;;
;La Conception;;
;La Coulé;;
;Lembi-Mouirange;;
;Mont-Dore Sud;;
;Plum;;
;Pont-des-Françai;;
;Prony;;
;Robinson;;
;Saint-Louis;;
;Saint-Michel;;
;Vallon-Dore;;
;Yahou�;;
Noumé;Centre-Ville;;
;Nouville;;
;Quartier latin;;
;Vallée du Gén;;
;Artillerie;;
;Montravel;;
;Montagne coupé;;
;Vallée du Ti;;
;Doniambo;;
;Orphelinat;;
;Baie des Citrons;;
;Anse Vata;;
;Val Plaisance;;
;N'Gé;;
;Receiving;;
;Motor Pool;;
;Trianon;;
;Vallée des Colon;;
;Faubourg Blanchot;;
;Haut-Magenta;;
;Magenta;;
;Ouém;;
;Aérodrom;;
;Portes de fer;;
;4e Kilomèt;;
;Rivière Salé;;
;6e Kilomèt;;
;7e Kilomèt;;
;Normandie;;
;Tina;;
;Golf de Tina;;
;Ducos;;
;Ducos industriel;;
;Kamér;;
;Koumourou;;
;Logicoop;;
;Numbo;;
;Tindu;;
;Quartiers de Noumé;;
Paït;Bangou;;
;Col de la pirogue;;
;Katiranoma;;
;Kokorét;;
;Makou;;
;Mont Mou;;
;Naniouni;;
;N'd�;;
;Ondémi;;
;Onghou�;;
;Païta centre (chef-lieu;;
;Plaine aux cailloux;;
;Port Laguerre;;
;Sanatorium (Païta;;
;Saint-Laurent (Païta;;
;Savannah;;
;Scheffleras;;
;Tamoa;;
;Timbia;;
;Tongouin;;
;Tontouta;;
Sarramé;Sarraméa (chef-lieu;;
;Petit Couli;;
;Grand Couli;;
Thio;Grand Borendy;;
;Petit Borendy;;
;Ouindo;;
;Les Pétroglyphe;;
;Saint-Jean-Baptiste (Thio);;
;Saint-Joseph (Thio);;
;Saint-Michel (Thio);;
;Saint-Paul (Thio);;
;Saint-Pierre (Thio);;
;Saint-Roch (Thio);;
;Saint-Philippo 1;;
;Saint-Philippo 2;;
;Thio (chef-lieu);;
Yat�;Goro (Yaté;;
;Touaourou;;
;Unia (Yaté;;
;Waho;;
;Yaté (chef-lieu;;
�Poya�(partie sud);;;
