Dumbé	Auteuil
	Cœur de vill
	Dumbéa (chef-lieu
	Dumbéa-sur-me
	Katiramona Sud
	Koghis
	Koutio
	La Couvelé
	Nakutakoin
	Nondou�
	Plaine de Ko�
	
Mont-Dore	Boulari (chef-lieu)
	Grand Sud
	�le Ouen
	La Conception
	La Coulé
	Lembi-Mouirange
	Mont-Dore Sud
	Plum
	Pont-des-Françai
	Prony
	Robinson
	Saint-Louis
	Saint-Michel
	Vallon-Dore
	Yahou�
	
Paït	Bangou
	Col de la pirogue
	Katiranoma
	Kokorét
	Makou
	Mont Mou
	Naniouni
	N'd�
	Ondémi
	Onghou�
	Païta centre (chef-lieu
	Plaine aux cailloux
	Port Laguerre
	Sanatorium (Païta
	Saint-Laurent (Païta
	Savannah
	Scheffleras
	Tamoa
	Timbia
	Tongouin
	Tontouta
	
Noumé	Centre-Ville
	Nouville
	Quartier latin
	Vallée du Gén
	Artillerie
	Montravel
	Montagne coupé
	Vallée du Ti
	Doniambo
	Orphelinat
	Baie des Citrons
	Anse Vata
	Val Plaisance
	N'Gé
	Receiving
	Motor Pool
	Trianon
	Vallée des Colon
	Faubourg Blanchot
	Haut-Magenta
	Magenta
	Ouém
	Aérodrom
	Portes de fer
	4e Kilomèt
	Rivière Salé
	6e Kilomèt
	7e Kilomèt
	Normandie
	Tina
	Golf de Tina
	Ducos
	Ducos industriel
	Kamér
	Koumourou
	Logicoop
	Numbo
	Tindu
